0,election,incumbenteffect,first_other,lab,con,libdem,winprob_other,winprob_lab,winprob_con,winprob_libdem
145,cambridgeshirepeterborough2021,14.4,0,34.77731763,48.12167088,17.10101149,0,0.25,0.73,0.02
146,cambridgeshirepeterborough2021,14.5,0,34.82085766,48.08896899,17.09017335,0,0.25,0.73,0.02
147,cambridgeshirepeterborough2021,14.6,0,34.77967616,48.09644445,17.12387938,0,0.25,0.73,0.02
148,cambridgeshirepeterborough2021,14.7,0,34.80748774,48.11394791,17.07856435,0,0.25,0.73,0.02
149,cambridgeshirepeterborough2021,14.8,0,34.77092153,48.17197815,17.05710033,0,0.25,0.73,0.02
150,cambridgeshirepeterborough2021,14.9,0,34.73850799,48.18523013,17.07626188,0,0.25,0.73,0.02
151,greatermanchester2021,0,6.989521858,46.46228924,27.46304844,5.820204646,0.05,0.83,0.12,0
152,greatermanchester2021,0.1,6.956997936,46.61958112,27.41959985,5.842567881,0.05,0.83,0.12,0
153,greatermanchester2021,0.2,6.918626383,46.71621347,27.33920617,5.839299405,0.05,0.84,0.12,0
154,greatermanchester2021,0.3,6.94363063,46.77484655,27.25698497,5.792854432,0.05,0.84,0.12,0
155,greatermanchester2021,0.4,6.917557378,46.93593313,27.22738572,5.799681734,0.05,0.84,0.11,0
156,greatermanchester2021,0.5,6.9348912,46.96682265,27.15844409,5.797306233,0.04,0.85,0.11,0
157,greatermanchester2021,0.6,6.86737435,47.14549076,27.10109264,5.800212068,0.04,0.85,0.11,0
158,greatermanchester2021,0.7,6.898587076,47.17375338,27.08402746,5.770791934,0.04,0.84,0.11,0
159,greatermanchester2021,0.8,6.894973551,47.33166971,26.95275413,5.73773073,0.04,0.85,0.11,0
160,greatermanchester2021,0.9,6.842820993,47.3517289,26.98940055,5.759135918,0.04,0.85,0.11,0
161,greatermanchester2021,1,6.832690953,47.51888371,26.8817313,5.739302918,0.04,0.85,0.11,0
162,greatermanchester2021,1.1,6.832867252,47.61522772,26.81590527,5.711709377,0.04,0.86,0.1,0
163,greatermanchester2021,1.2,6.819411188,47.73279263,26.72702308,5.704342149,0.04,0.86,0.1,0
164,greatermanchester2021,1.3,6.800456643,47.74833156,26.78231173,5.676400621,0.04,0.86,0.1,0
165,greatermanchester2021,1.4,6.792050846,47.90237481,26.64429162,5.664533427,0.04,0.86,0.1,0
166,greatermanchester2021,1.5,6.856115636,47.82480704,26.58268927,5.657165947,0.04,0.86,0.1,0
167,greatermanchester2021,1.6,6.833423858,47.99640115,26.47145886,5.659927606,0.04,0.86,0.1,0
168,greatermanchester2021,1.7,6.772451871,48.1467421,26.50878746,5.645169734,0.04,0.86,0.1,0
169,greatermanchester2021,1.8,6.792082654,48.21884186,26.41541522,5.613218407,0.04,0.86,0.09,0
170,greatermanchester2021,1.9,6.765496027,48.40425159,26.26642135,5.608903445,0.04,0.87,0.09,0
171,greatermanchester2021,2,6.754918556,48.43759518,26.264244,5.610772034,0.04,0.87,0.09,0
172,greatermanchester2021,2.1,6.725667061,48.57313544,26.24394315,5.567666614,0.04,0.87,0.09,0
173,greatermanchester2021,2.2,6.746588212,48.68112374,26.173417,5.554324855,0.04,0.87,0.09,0
174,greatermanchester2021,2.3,6.704628579,48.71594097,26.1256523,5.576611996,0.04,0.87,0.09,0
175,greatermanchester2021,2.4,6.682444645,48.88972388,26.02597433,5.554826139,0.04,0.88,0.08,0
176,greatermanchester2021,2.5,6.671169824,49.03774856,25.99271267,5.517856739,0.04,0.88,0.08,0
177,greatermanchester2021,2.6,6.64717011,49.05141019,25.98134501,5.52806674,0.04,0.88,0.08,0
178,greatermanchester2021,2.7,6.652470313,49.16733912,25.87157246,5.503410606,0.04,0.88,0.08,0
179,greatermanchester2021,2.8,6.630606128,49.24134976,25.79094683,5.496752158,0.04,0.88,0.08,0
180,greatermanchester2021,2.9,6.618009797,49.43225457,25.76119416,5.478183054,0.04,0.88,0.08,0
181,greatermanchester2021,3,6.613203117,49.47359739,25.68196099,5.473831708,0.04,0.89,0.08,0
182,greatermanchester2021,3.1,6.582580275,49.5836214,25.68730478,5.462436943,0.04,0.89,0.08,0
183,greatermanchester2021,3.2,6.558887334,49.70632053,25.59982685,5.442057607,0.04,0.89,0.07,0
184,greatermanchester2021,3.3,6.584831295,49.72231363,25.54714145,5.43295596,0.04,0.89,0.07,0
185,greatermanchester2021,3.4,6.535703081,49.93120197,25.41521636,5.427782522,0.04,0.89,0.07,0
186,greatermanchester2021,3.5,6.571307987,49.94019204,25.36841298,5.383723568,0.04,0.89,0.07,0
187,greatermanchester2021,3.6,6.534214266,50.04518133,25.28191488,5.381943956,0.04,0.89,0.07,0
188,greatermanchester2021,3.7,6.523337556,50.17415819,25.28410708,5.362488834,0.04,0.9,0.07,0
189,greatermanchester2021,3.8,6.531096744,50.22110879,25.18459605,5.346664843,0.04,0.89,0.07,0
190,greatermanchester2021,3.9,6.510782508,50.39473786,25.10409352,5.340158425,0.04,0.9,0.07,0
191,greatermanchester2021,4,6.494778608,50.47306428,25.07026671,5.319958491,0.04,0.9,0.06,0
192,greatermanchester2021,4.1,6.484166178,50.56664855,24.94103484,5.325605258,0.04,0.9,0.07,0
193,greatermanchester2021,4.2,6.44495841,50.69597669,24.89096354,5.312335912,0.04,0.9,0.06,0
194,greatermanchester2021,4.3,6.441150656,50.74739772,24.85513178,5.289287964,0.04,0.9,0.06,0
195,greatermanchester2021,4.4,6.467650398,50.78013514,24.75895303,5.265340137,0.04,0.9,0.06,0
