,election,incumbenteffect,first_other,lab,con,libdem,winprob_other,winprob_lab,winprob_con,winprob_libdem
0,election,incumbenteffect,first_other,lab,con,libdem,winprob_other,winprob_lab,winprob_con,winprob_libdem
40,cambridgeshirepeterborough2021,3.9,0.0,34.87451219427295,48.04339243602368,17.082095369703033,0.0,0.25218,0.72656,0.02126
41,cambridgeshirepeterborough2021,4.0,0.0,34.85064798390663,48.06233708320981,17.087014932883605,0.0,0.25321,0.72499,0.0218
42,cambridgeshirepeterborough2021,4.1,0.0,34.80219358598154,48.11493536166864,17.082871052350026,0.0,0.25039,0.728,0.02161
43,cambridgeshirepeterborough2021,4.2,0.0,34.776849897860025,48.10590322573634,17.11724687640381,0.0,0.25057,0.72759,0.02184
44,cambridgeshirepeterborough2021,4.3,0.0,34.87306917990081,48.039460788292644,17.087470031806557,0.0,0.2543,0.72403,0.02167
45,cambridgeshirepeterborough2021,4.4,0.0,34.794398058503624,48.130253582582995,17.075348358912933,0.0,0.25116,0.72718,0.02166
46,cambridgeshirepeterborough2021,4.5,0.0,34.856844205363835,48.09890980553074,17.044245989104528,0.0,0.25361,0.72562,0.02077
47,cambridgeshirepeterborough2021,4.6,0.0,34.81317843891778,48.09589734204989,17.090924219032296,0.0,0.25029,0.72789,0.02182
48,cambridgeshirepeterborough2021,4.7,0.0,34.82901779832539,48.119036837184495,17.05194536449069,0.0,0.251,0.7275,0.0215
49,cambridgeshirepeterborough2021,4.8,0.0,34.81599794023898,48.10954479178733,17.074457267973443,0.0,0.24999,0.72788,0.02213
50,cambridgeshirepeterborough2021,4.9,0.0,34.82422847071371,48.099554541448995,17.076216987838336,0.0,0.25341,0.72485,0.02174
51,cambridgeshirepeterborough2021,5.0,0.0,34.792542788751625,48.13048415047078,17.076973060777075,0.0,0.24972,0.72894,0.02134
52,cambridgeshirepeterborough2021,5.1,0.0,34.81405071473269,48.07913475798822,17.106814527278953,0.0,0.25115,0.72637,0.02248
53,cambridgeshirepeterborough2021,5.2,0.0,34.839912939469095,48.10901381552764,17.051073245003032,0.0,0.25282,0.72571,0.02147
54,cambridgeshirepeterborough2021,5.3,0.0,34.782998999032195,48.07884450234996,17.138156498618372,0.0,0.25206,0.72522,0.02272
55,cambridgeshirepeterborough2021,5.4,0.0,34.81429564445452,48.12411324301657,17.061591112529314,0.0,0.25199,0.72692,0.02109
56,cambridgeshirepeterborough2021,5.5,0.0,34.83279603598453,48.09190951627613,17.075294447739562,0.0,0.25351,0.72481,0.02168
57,cambridgeshirepeterborough2021,5.6,0.0,34.78566666781289,48.13841314577776,17.075920186409377,0.0,0.25083,0.72799,0.02118
58,cambridgeshirepeterborough2021,5.7,0.0,34.812428318341624,48.078879268824544,17.10869241283447,0.0,0.25413,0.7248,0.02107
59,cambridgeshirepeterborough2021,5.8,0.0,34.802873494827544,48.0851932586291,17.11193324654331,0.0,0.2528,0.72539,0.02181
60,cambridgeshirepeterborough2021,5.9,0.0,34.83676693886948,48.06345500536754,17.09977805576352,0.0,0.25381,0.72457,0.02162
61,cambridgeshirepeterborough2021,6.0,0.0,34.80261022726968,48.11988564957339,17.077504123157805,0.0,0.2508,0.72756,0.02164
62,cambridgeshirepeterborough2021,6.1,0.0,34.813398660277265,48.11076245659857,17.075838883124533,0.0,0.252,0.7258,0.0222
63,cambridgeshirepeterborough2021,6.2,0.0,34.77462629271818,48.15071923949371,17.074654467788708,0.0,0.25082,0.72796,0.02122
64,cambridgeshirepeterborough2021,6.3,0.0,34.85087449924893,48.067648526593636,17.081476974157148,0.0,0.25244,0.72605,0.02151
65,cambridgeshirepeterborough2021,6.4,0.0,34.87306860417362,48.02562944850325,17.10130194732324,0.0,0.25321,0.72445,0.02234
66,cambridgeshirepeterborough2021,6.5,0.0,34.77651856418642,48.12442669427026,17.09905474154304,0.0,0.25211,0.72679,0.0211
67,cambridgeshirepeterborough2021,6.6,0.0,34.82450744147104,48.12688975685966,17.048602801668856,0.0,0.25084,0.72839,0.02077
68,cambridgeshirepeterborough2021,6.7,0.0,34.848204907653376,48.0958789265553,17.055916165791036,0.0,0.25276,0.72625,0.02099
69,cambridgeshirepeterborough2021,6.8,0.0,34.792237473564825,48.13993977259434,17.067822753840346,0.0,0.25097,0.72686,0.02217
70,cambridgeshirepeterborough2021,6.9,0.0,34.82849191611774,48.098467477777774,17.073040606104293,0.0,0.25203,0.72675,0.02122
71,cambridgeshirepeterborough2021,7.0,0.0,34.86125495006835,48.05115680973686,17.08758824019408,0.0,0.25282,0.72598,0.0212
72,cambridgeshirepeterborough2021,7.1,0.0,34.77675260619988,48.166378113228774,17.05686928057013,0.0,0.25087,0.72767,0.02146
73,cambridgeshirepeterborough2021,7.2,0.0,34.774949782840935,48.10458365805522,17.120466559103058,0.0,0.25071,0.72727,0.02202
74,cambridgeshirepeterborough2021,7.3,0.0,34.816697940590586,48.085437152321845,17.097864907087065,0.0,0.25092,0.72678,0.0223
75,cambridgeshirepeterborough2021,7.4,0.0,34.80702748814099,48.10969373762629,17.083278774232415,0.0,0.25044,0.72797,0.02159
76,cambridgeshirepeterborough2021,7.5,0.0,34.8523458613949,48.09018247815636,17.057471660448442,0.0,0.25257,0.7252,0.02223
77,cambridgeshirepeterborough2021,7.6,0.0,34.886746944232335,48.049401639308336,17.063851416459112,0.0,0.25397,0.72509,0.02094
78,cambridgeshirepeterborough2021,7.7,0.0,34.8435112922488,48.057815561373594,17.0986731463781,0.0,0.25416,0.7239,0.02194
79,cambridgeshirepeterborough2021,7.8,0.0,34.82101730431613,48.103380109386976,17.075602586297062,0.0,0.25088,0.72721,0.02191
80,cambridgeshirepeterborough2021,7.9,0.0,34.826206452122065,48.069795045251006,17.103998502627622,0.0,0.25164,0.72626,0.0221
81,cambridgeshirepeterborough2021,8.0,0.0,34.8410579652501,48.05785380447145,17.101088230278656,0.0,0.25221,0.7271,0.02069
82,cambridgeshirepeterborough2021,8.1,0.0,34.76334969336465,48.15266094885281,17.08398935778312,0.0,0.2502,0.72896,0.02084
83,cambridgeshirepeterborough2021,8.2,0.0,34.86784337432865,48.075309353366464,17.05684727230489,0.0,0.25418,0.72517,0.02065
84,cambridgeshirepeterborough2021,8.3,0.0,34.862755846919654,48.0732489754855,17.063995177594574,0.0,0.25199,0.72629,0.02172
85,cambridgeshirepeterborough2021,8.4,0.0,34.80279892272436,48.15864123827636,17.038559838999458,0.0,0.2515,0.7272,0.0213
86,cambridgeshirepeterborough2021,8.5,0.0,34.78925591003931,48.11254237280891,17.098201717151237,0.0,0.25092,0.72773,0.02135
87,cambridgeshirepeterborough2021,8.6,0.0,34.80367357326852,48.14365428144779,17.052672145284113,0.0,0.25167,0.72721,0.02112
88,cambridgeshirepeterborough2021,8.7,0.0,34.822896177350884,48.071128045017886,17.105975777631187,0.0,0.25142,0.72667,0.02191
89,cambridgeshirepeterborough2021,8.8,0.0,34.876891975081755,48.038226776839224,17.084881248079114,0.0,0.25267,0.72537,0.02196
90,cambridgeshirepeterborough2021,8.9,0.0,34.79988158273769,48.08270879081406,17.11740962644872,0.0,0.25231,0.72555,0.02214
91,cambridgeshirepeterborough2021,9.0,0.0,34.8546288375844,48.07588941584728,17.069481746567877,0.0,0.25237,0.72575,0.02188
92,cambridgeshirepeterborough2021,9.1,0.0,34.78789474432507,48.1314266133363,17.08067864234002,0.0,0.25062,0.72823,0.02115
93,cambridgeshirepeterborough2021,9.2,0.0,34.79190179893432,48.08398197300482,17.12411622806012,0.0,0.25173,0.72674,0.02153
94,cambridgeshirepeterborough2021,9.3,0.0,34.78625165231032,48.10451094987793,17.109237397811654,0.0,0.25301,0.72572,0.02127
95,cambridgeshirepeterborough2021,9.4,0.0,34.88002493315393,48.015294917903276,17.104680148941767,0.0,0.25457,0.72394,0.02149
96,cambridgeshirepeterborough2021,9.5,0.0,34.87296419886562,48.098447398167096,17.02858840296719,0.0,0.25346,0.72594,0.0206
97,cambridgeshirepeterborough2021,9.6,0.0,34.81777599226106,48.11809851292693,17.06412549481291,0.0,0.2506,0.72795,0.02145
98,cambridgeshirepeterborough2021,9.7,0.0,34.79942358788816,48.0935688344955,17.107007577616557,0.0,0.24984,0.72817,0.02199
99,cambridgeshirepeterborough2021,9.8,0.0,34.82669843646337,48.05766124064836,17.115640322889803,0.0,0.25297,0.72523,0.0218
100,cambridgeshirepeterborough2021,9.9,0.0,34.74421139796395,48.197854339295134,17.057934262740567,0.0,0.24932,0.72853,0.02215
101,cambridgeshirepeterborough2021,10.0,0.0,34.773233343162936,48.14151345749865,17.085253199338315,0.0,0.24979,0.72873,0.02148
102,cambridgeshirepeterborough2021,10.1,0.0,34.905568545884144,48.05837421498666,17.036057239128926,0.0,0.2539,0.72426,0.02184
103,cambridgeshirepeterborough2021,10.2,0.0,34.81409472561653,48.1108786943237,17.075026580059884,0.0,0.25137,0.72668,0.02195
104,cambridgeshirepeterborough2021,10.3,0.0,34.822434304661414,48.01645309252135,17.161112602817294,0.0,0.25369,0.72396,0.02235
105,cambridgeshirepeterborough2021,10.4,0.0,34.82766187715861,48.11253237171959,17.059805751121896,0.0,0.25248,0.72558,0.02194
106,cambridgeshirepeterborough2021,10.5,0.0,34.80591673948213,48.11066606482977,17.08341719568878,0.0,0.25163,0.72651,0.02186
107,cambridgeshirepeterborough2021,10.6,0.0,34.82297080514937,48.083124033979054,17.093905160870605,0.0,0.2513,0.72706,0.02164
108,cambridgeshirepeterborough2021,10.7,0.0,34.766630148815146,48.07304821958715,17.160321631597572,0.0,0.25188,0.72638,0.02174
109,cambridgeshirepeterborough2021,10.8,0.0,34.790011600538726,48.13631224317351,17.073676156288062,0.0,0.25077,0.72726,0.02197
110,cambridgeshirepeterborough2021,10.9,0.0,34.787224421399785,48.123429231609016,17.089346346991697,0.0,0.25188,0.72685,0.02127
111,cambridgeshirepeterborough2021,11.0,0.0,34.78071747384991,48.154265787207166,17.06501673894314,0.0,0.25163,0.72712,0.02125
112,cambridgeshirepeterborough2021,11.1,0.0,34.836853423328094,48.07817501988911,17.084971556782346,0.0,0.25209,0.72668,0.02123
113,cambridgeshirepeterborough2021,11.2,0.0,34.820058458870676,48.12186921957132,17.058072321557606,0.0,0.25179,0.72669,0.02152
114,cambridgeshirepeterborough2021,11.3,0.0,34.87150953261661,48.03506090563515,17.093429561747996,0.0,0.2529,0.72481,0.02229
115,cambridgeshirepeterborough2021,11.4,0.0,34.8390055434228,48.09647718658672,17.064517269990507,0.0,0.25174,0.72598,0.02228
116,cambridgeshirepeterborough2021,11.5,0.0,34.83550358109921,48.040755371152905,17.123741047747988,0.0,0.25273,0.7254,0.02187
117,cambridgeshirepeterborough2021,11.6,0.0,34.82311344724692,48.065622708559374,17.111263844192635,0.0,0.25163,0.72653,0.02184
118,cambridgeshirepeterborough2021,11.7,0.0,34.810794309173396,48.10812497404749,17.081080716778747,0.0,0.25216,0.72628,0.02156
119,cambridgeshirepeterborough2021,11.8,0.0,34.80595278232603,48.14548941099883,17.04855780667496,0.0,0.25096,0.72819,0.02085
120,cambridgeshirepeterborough2021,11.9,0.0,34.83387117852319,48.07120234607609,17.094926475400555,0.0,0.25192,0.72669,0.02139
121,cambridgeshirepeterborough2021,12.0,0.0,34.80308451918742,48.09823713244602,17.09867834836703,0.0,0.25292,0.72578,0.0213
122,cambridgeshirepeterborough2021,12.1,0.0,34.83937733801152,48.0884581125083,17.072164549479766,0.0,0.25162,0.72735,0.02103
123,cambridgeshirepeterborough2021,12.2,0.0,34.88835610098777,48.044939085997825,17.066704813013214,0.0,0.25312,0.72478,0.0221
124,cambridgeshirepeterborough2021,12.3,0.0,34.847626927648115,48.129652775678366,17.022720296673363,0.0,0.2513,0.72751,0.02119
125,cambridgeshirepeterborough2021,12.4,0.0,34.85002557781777,48.055031394780706,17.09494302740213,0.0,0.25337,0.7255,0.02113
126,cambridgeshirepeterborough2021,12.5,0.0,34.803350071528705,48.09881940351201,17.097830524959356,0.0,0.25167,0.72636,0.02197
127,cambridgeshirepeterborough2021,12.6,0.0,34.86139862306614,48.07846467448744,17.060136702446172,0.0,0.25143,0.72694,0.02163
128,cambridgeshirepeterborough2021,12.7,0.0,34.812923793763744,48.07734401568239,17.109732190552748,0.0,0.25207,0.72593,0.022
129,cambridgeshirepeterborough2021,12.8,0.0,34.82463601367926,48.10785680583147,17.067507180488963,0.0,0.25019,0.72882,0.02099
130,cambridgeshirepeterborough2021,12.9,0.0,34.811668368879175,48.091206975594936,17.09712465552596,0.0,0.25107,0.7274,0.02153
131,cambridgeshirepeterborough2021,13.0,0.0,34.78286106172697,48.11689868939747,17.100240248875846,0.0,0.24992,0.72824,0.02184
132,cambridgeshirepeterborough2021,13.1,0.0,34.834016480673974,48.068009467013496,17.097974052311812,0.0,0.2534,0.72505,0.02155
133,cambridgeshirepeterborough2021,13.2,0.0,34.83284830908315,48.092187165375336,17.074964525541688,0.0,0.25305,0.72583,0.02112
134,cambridgeshirepeterborough2021,13.3,0.0,34.858396443318924,48.054948953794856,17.086654602886348,0.0,0.25425,0.72381,0.02194
135,cambridgeshirepeterborough2021,13.4,0.0,34.81268624803199,48.09563732234387,17.091676429624762,0.0,0.25292,0.72624,0.02084
136,cambridgeshirepeterborough2021,13.5,0.0,34.82459869553002,48.092787153229715,17.082614151241042,0.0,0.25149,0.7267,0.02181
137,cambridgeshirepeterborough2021,13.6,0.0,34.87326237316525,48.05859032002806,17.068147306806416,0.0,0.25475,0.72347,0.02178
138,cambridgeshirepeterborough2021,13.7,0.0,34.78049849414223,48.14283018115667,17.076671324701483,0.0,0.24961,0.72874,0.02165
139,cambridgeshirepeterborough2021,13.8,0.0,34.83705037357776,48.09502571859935,17.067923907822053,0.0,0.2521,0.72752,0.02038
140,cambridgeshirepeterborough2021,13.9,0.0,34.824217613561686,48.036341925969275,17.139440460469512,0.0,0.25259,0.72514,0.02227
141,cambridgeshirepeterborough2021,14.0,0.0,34.84026834156323,48.088190320586556,17.071541337850643,0.0,0.25105,0.72747,0.02148
142,cambridgeshirepeterborough2021,14.1,0.0,34.78153909723088,48.15301839941956,17.065442503349242,0.0,0.25087,0.72791,0.02122
143,cambridgeshirepeterborough2021,14.2,0.0,34.825961245909156,48.11531250242539,17.05872625166635,0.0,0.25069,0.72774,0.02157
144,cambridgeshirepeterborough2021,14.3,0.0,34.81819437115355,48.085972504377274,17.095833124468538,0.0,0.25206,0.72665,0.02129
145,cambridgeshirepeterborough2021,14.4,0.0,34.77731762789739,48.121670878854786,17.101011493247185,0.0,0.25176,0.72628,0.02196
146,cambridgeshirepeterborough2021,14.5,0.0,34.82085766442443,48.08896898812949,17.09017334744613,0.0,0.25152,0.72716,0.02132
147,cambridgeshirepeterborough2021,14.6,0.0,34.779676164141954,48.09644445271667,17.12387938314174,0.0,0.25006,0.7279,0.02204
148,cambridgeshirepeterborough2021,14.7,0.0,34.807487740422005,48.113947910254545,17.07856434932322,0.0,0.25136,0.72695,0.02169
149,cambridgeshirepeterborough2021,14.8,0.0,34.77092152669272,48.171978147422664,17.057100325884846,0.0,0.24934,0.72932,0.02134
150,cambridgeshirepeterborough2021,14.9,0.0,34.738507992863624,48.185230129083216,17.076261878053867,0.0,0.2499,0.72857,0.02153
151,greatermanchester2021,0,6.989521857593273,46.46228923540358,27.463048444242602,5.820204646482903,0.04668,0.83282,0.12003,0.00047
152,greatermanchester2021,0.1,6.956997936424632,46.619581117686685,27.41959985480346,5.8425678813017745,0.04582,0.83391,0.11991,0.00036
153,greatermanchester2021,0.2,6.918626382712755,46.71621347047249,27.33920616655793,5.83929940480915,0.04613,0.83666,0.11676,0.00045
154,greatermanchester2021,0.3,6.943630630309592,46.77484655324539,27.25698496814664,5.792854432474015,0.04623,0.8386,0.11463,0.00054
155,greatermanchester2021,0.4,6.917557378483756,46.935933128769605,27.22738572122378,5.799681733943943,0.04475,0.84144,0.11345,0.00036
156,greatermanchester2021,0.5,6.934891199973812,46.96682265212527,27.158444086954617,5.7973062330674985,0.04401,0.84463,0.11096,0.0004
157,greatermanchester2021,0.6,6.867374350444527,47.145490760837674,27.101092635552938,5.800212067687064,0.04424,0.84689,0.10849,0.00038
158,greatermanchester2021,0.7,6.898587075992329,47.17375338051058,27.084027461055218,5.770791934174128,0.04415,0.84439,0.11111,0.00035
159,greatermanchester2021,0.8,6.894973550961203,47.33166971251138,26.952754130881132,5.73773073040526,0.04423,0.84938,0.10608,0.00031
160,greatermanchester2021,0.9,6.842820992683233,47.35172889501214,26.989400552676834,5.759135918051065,0.044,0.84788,0.10784,0.00028
161,greatermanchester2021,1.0,6.832690953190182,47.51888370634937,26.881731301748065,5.739302917515317,0.04303,0.85168,0.10497,0.00032
162,greatermanchester2021,1.1,6.832867252336594,47.61522772136178,26.81590526854619,5.711709376500623,0.04288,0.85485,0.10203,0.00024
163,greatermanchester2021,1.2,6.819411187915816,47.732792632891865,26.72702307517601,5.704342149028377,0.04286,0.85642,0.10038,0.00034
164,greatermanchester2021,1.3,6.8004566430127955,47.748331564992256,26.78231172740876,5.676400621495057,0.04244,0.85564,0.10146,0.00046
165,greatermanchester2021,1.4,6.792050845531533,47.90237481075389,26.64429161914575,5.664533426579459,0.04311,0.85901,0.09762,0.00026
166,greatermanchester2021,1.5,6.85611563597077,47.824807041170466,26.582689273393274,5.657165947462151,0.0437,0.85791,0.09816,0.00023
167,greatermanchester2021,1.6,6.833423858249085,47.99640114525962,26.47145886132735,5.659927605611882,0.04244,0.86254,0.09479,0.00023
168,greatermanchester2021,1.7,6.772451871414337,48.14674210443718,26.508787461134936,5.645169734172417,0.04229,0.86228,0.09509,0.00034
169,greatermanchester2021,1.8,6.792082654028409,48.21884185874831,26.415415216121445,5.6132184072163955,0.04232,0.86401,0.09339,0.00028
170,greatermanchester2021,1.9,6.765496027076772,48.404251593488894,26.266421348177893,5.6089034449924275,0.04152,0.86927,0.08885,0.00036
171,greatermanchester2021,2.0,6.754918556431656,48.43759517874224,26.26424400425939,5.610772034378736,0.0415,0.8694,0.08884,0.00026
172,greatermanchester2021,2.1,6.725667061026149,48.57313543988906,26.243943148930324,5.567666613791052,0.04109,0.87017,0.08848,0.00026
173,greatermanchester2021,2.2,6.74658821155872,48.68112373870046,26.173417002320544,5.554324855427148,0.04138,0.87245,0.08588,0.00029
174,greatermanchester2021,2.3,6.704628579455462,48.715940972044656,26.12565229660782,5.576611995614607,0.04105,0.87154,0.08706,0.00035
175,greatermanchester2021,2.4,6.6824446447243915,48.88972388465735,26.0259743326224,5.554826138603366,0.04041,0.87565,0.08368,0.00026
176,greatermanchester2021,2.5,6.671169823748919,49.03774856200211,25.992712665377223,5.517856738531528,0.03953,0.87814,0.08198,0.00035
177,greatermanchester2021,2.6,6.647170110125767,49.05141018546821,25.981345011166102,5.528066740294056,0.03979,0.87866,0.08127,0.00028
178,greatermanchester2021,2.7,6.652470313218917,49.16733911876117,25.871572464660915,5.503410606269129,0.04027,0.87866,0.08086,0.00021
179,greatermanchester2021,2.8,6.630606128483806,49.24134976328426,25.790946827522074,5.4967521580778165,0.03954,0.88118,0.0791,0.00018
180,greatermanchester2021,2.9,6.618009796904933,49.432254573396726,25.761194155668655,5.4781830540539485,0.03946,0.88383,0.07644,0.00027
181,greatermanchester2021,3.0,6.613203117027757,49.47359738790496,25.681960993116736,5.473831707884814,0.03872,0.88476,0.07623,0.00029
182,greatermanchester2021,3.1,6.582580275247674,49.58362139792618,25.687304776910956,5.462436943102282,0.03898,0.88485,0.07597,0.0002
183,greatermanchester2021,3.2,6.558887334481095,49.70632052727196,25.599826845740516,5.442057606977914,0.0382,0.88739,0.07407,0.00034
184,greatermanchester2021,3.3,6.58483129492046,49.72231362881748,25.547141448327025,5.432955959713563,0.03813,0.88724,0.07441,0.00022
185,greatermanchester2021,3.4,6.535703081215645,49.93120197189099,25.415216355942693,5.427782522249141,0.03754,0.88982,0.07243,0.00021
186,greatermanchester2021,3.5,6.571307986570765,49.94019204215426,25.368412980754403,5.383723567892983,0.03805,0.88945,0.07228,0.00022
187,greatermanchester2021,3.6,6.5342142656388225,50.04518132725475,25.281914879390527,5.381943956463131,0.03769,0.89249,0.06954,0.00028
188,greatermanchester2021,3.7,6.523337556219279,50.17415819316298,25.284107078020522,5.362488834450395,0.03675,0.89461,0.06844,0.0002
189,greatermanchester2021,3.8,6.531096743908289,50.22110879194896,25.18459604554665,5.346664842505999,0.0379,0.89324,0.06864,0.00022
190,greatermanchester2021,3.9,6.510782508256918,50.394737858333876,25.104093520760973,5.3401584247089495,0.03674,0.89667,0.06636,0.00023
191,greatermanchester2021,4.0,6.494778607939866,50.4730642786299,25.070266709704278,5.319958490814694,0.0364,0.89918,0.06422,0.0002
192,greatermanchester2021,4.1,6.484166178169036,50.56664854627463,24.941034839560814,5.325605258110906,0.03603,0.89907,0.0647,0.0002
193,greatermanchester2021,4.2,6.444958409953373,50.69597668608296,24.890963535287305,5.312335911836264,0.036,0.90192,0.06186,0.00022
194,greatermanchester2021,4.3,6.44115065629079,50.74739772431388,24.855131783208186,5.289287963962558,0.0354,0.90284,0.06157,0.00019
195,greatermanchester2021,4.4,6.467650397792247,50.78013513809657,24.758953028389776,5.265340137277119,0.03722,0.90128,0.06136,0.00014
196,greatermanchester2021,4.5,6.412243856142165,51.002735708236,24.679338709502996,5.245949042792845,0.03528,0.90504,0.05951,0.00017
197,greatermanchester2021,4.6,6.415381158246459,51.07729193124177,24.60350108390955,5.22951960062416,0.03547,0.90783,0.05657,0.00013
198,greatermanchester2021,4.7,6.383350764069217,51.16661492331953,24.552630265046417,5.212061256491859,0.0354,0.9068,0.05763,0.00017
199,greatermanchester2021,4.8,6.348935983220359,51.289146701713605,24.554008067854088,5.210419789419875,0.03458,0.90963,0.05562,0.00017
200,greatermanchester2021,4.9,6.366997452816715,51.35100286745866,24.45690076575229,5.182603247395997,0.03481,0.90872,0.05629,0.00018
201,greatermanchester2021,5.0,6.377054437880076,51.41403833875323,24.35211624866367,5.190947140954092,0.03524,0.90912,0.05541,0.00023
202,greatermanchester2021,5.1,6.312708115609332,51.558166607981256,24.36224565386503,5.168377556582231,0.03391,0.91132,0.05456,0.00021
203,greatermanchester2021,5.2,6.363556339915119,51.59014109263585,24.210195427201675,5.136527156176086,0.03446,0.91112,0.05429,0.00013
